,P149774,P149985,P153403,P153537,P154325,P155534,P157632,P158276,P158665,P158785,P160100,P160971,P161515,P161809,P161865,P165970,P164921,P164398,P165114,P169026,P170008,P170055,P172017,P172390,P172496,P174092,P176973,P177793,P186330,P182545,P179186,P179980,P181568,P170561,P184521,P184022
KEGG_ABC_TRANSPORTERS,0.366899088289405,0.382204470242654,0.315646395577056,0.33606398947773,0.366272139032224,0.370551202937545,0.274133285231339,0.36239124403941,0.373346915558365,0.35962137592803,0.360711732842676,0.333510587606711,0.38291925906642,0.385354160906087,0.353908453503515,0.354614942153569,0.374675141696825,0.372908810182161,0.357749197030185,0.352969795840129,0.340507263923908,0.357556548684073,0.355137788082289,0.378507523113834,0.33943406598517,0.306401424218121,0.367805481244342,0.354895673068737,0.363320048648121,0.357780007400835,0.329276392108804,0.335521121138679,0.370741176338296,0.362619145563686,0.332715126043753,0.354812259622088
KEGG_ACUTE_MYELOID_LEUKEMIA,0.578615450540843,0.586762692021347,0.584956167400662,0.565237223460973,0.57621677879069,0.580177388924901,0.576872635576186,0.576116348141862,0.573506732763674,0.566209419163522,0.577494237452584,0.561569127528863,0.565283373854443,0.583482748677592,0.592770701356731,0.570138887689994,0.576819317917839,0.577049042713387,0.57547990985745,0.562973051384782,0.583461065437217,0.588932449279382,0.562729142368285,0.579635290307228,0.568721368591516,0.554723601798048,0.581126731693618,0.56614041796512,0.595573287229275,0.591555388961431,0.569262662413731,0.567531259914365,0.587283138694069,0.566184756734827,0.566651119302663,0.586201180054707
KEGG_ADHERENS_JUNCTION,0.600056356142703,0.602022382249593,0.602273912910117,0.57389270165339,0.610113982540555,0.59626130536347,0.570903685545422,0.594771448414253,0.595383313884984,0.597426636014496,0.60166357883021,0.585250124620268,0.574687551521075,0.587630599093588,0.615759129343681,0.584256216592034,0.595409980087281,0.589278309465831,0.583873834973186,0.571126132158452,0.605531433889299,0.608092207993281,0.583431143249299,0.600097803141379,0.580834773147596,0.547999611779475,0.608543311227667,0.583066066534892,0.59770153022703,0.596685140316255,0.585199020397448,0.599664795887713,0.608897108559809,0.580479312375663,0.575519570524774,0.590198174430843
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.479002293390397,0.486879795199158,0.476140416897226,0.444228706396211,0.47091480194207,0.467999014453484,0.463194663435023,0.468398783813012,0.484339223998464,0.469179789213522,0.480441211923526,0.46773152338742,0.46940420569575,0.496980264155014,0.48163445794302,0.458494440491475,0.498463630942673,0.487719874727288,0.475768913327801,0.497492410246356,0.469835359763836,0.470718059425269,0.461716365924925,0.482194955141678,0.50345933899675,0.467749426063136,0.478848574674126,0.475842329961928,0.47453318545704,0.476292831122226,0.473228060096467,0.491915645062287,0.507212911032347,0.497070265310976,0.470640088752004,0.484097933146121
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.494471216036973,0.510575236645576,0.495343133511962,0.507679307863218,0.474197887965359,0.500853141912332,0.517142861029552,0.504965833165342,0.488927708888835,0.489789507244169,0.51119853683589,0.482773675646192,0.492048767046965,0.541825427887622,0.480127446238007,0.468094319433527,0.48552735099888,0.494858378646258,0.508480405685227,0.53967744442455,0.477444188871205,0.496194096116,0.505184148882858,0.486153181838373,0.548283918589743,0.462761606965598,0.498898386356004,0.493653874696323,0.483915540021377,0.481384996930384,0.496135527421753,0.499603587022234,0.505944173816571,0.511602338335448,0.490138241308224,0.507602874911407
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.418975878242769,0.434835006200896,0.432797582883764,0.413151031882841,0.44215021772907,0.401029976798601,0.4041175804241,0.440818699389056,0.39803788960833,0.43697708947127,0.442311081024678,0.43539601297904,0.384761375214628,0.454198119315548,0.452448723503442,0.382349141351733,0.457559976953424,0.43120058061998,0.405766976559351,0.451266295093665,0.429602670770698,0.462371815532113,0.39837816994226,0.465894320711566,0.405369175828097,0.365869907510436,0.410415209381163,0.422284507484537,0.417877918163984,0.439694269893022,0.40021058825288,0.417250951678264,0.447355367381878,0.426880244213769,0.431029698088739,0.413061415397444
KEGG_ALLOGRAFT_REJECTION,0.267813511679665,0.410043262644404,0.3329539235583,0.257677177797494,0.277504447924265,0.363419580702548,0.249639900004689,0.303653333076575,0.436331471234945,0.30339310697086,0.374760588150755,0.337281007626215,0.351419615684519,0.4000351279732,0.398004195206134,0.22084483642429,0.413926575872363,0.349348857459545,0.350820425873471,0.342181237465402,0.29157609272728,0.362002103367511,0.248317508417,0.349604650064088,0.316439773949485,0.128064180550818,0.291753830008072,0.319970835580009,0.468693014852657,0.322913747974654,0.221324834519489,0.243817840218234,0.345528411396408,0.33816079010603,0.197327862283286,0.318009977686265
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.266967273296832,0.272696382188393,0.229413606230881,0.194664374807871,0.255012785765818,0.282256880475436,0.250242121090697,0.21487640369309,0.240698858944414,0.21661544153545,0.249303883161785,0.234803310430638,0.246582265295747,0.264124463826082,0.214909349923918,0.215517136896884,0.245899365390332,0.256412647294406,0.221113930940109,0.301269074690318,0.222317396305004,0.185143304981465,0.294930646864996,0.257324852774333,0.24924517118776,0.198938885783057,0.291819312545788,0.202770699239741,0.280064124862697,0.263971664698379,0.169540025120024,0.23400974686238,0.297992339843359,0.209015740264537,0.229208419888384,0.194608166658395
KEGG_ALZHEIMERS_DISEASE,0.5143844527054,0.522663310809269,0.532614266245942,0.523797764365398,0.519009323356141,0.532301298512855,0.518261981660926,0.526835649176027,0.512104155701319,0.511912004859306,0.533722162763711,0.513661245774675,0.52556506904328,0.537098902768944,0.530718902955963,0.507304011557261,0.529514769045084,0.533178668160597,0.516998942691209,0.534920275473518,0.514169658070608,0.530935286184336,0.520232897493517,0.526314448501083,0.537755037497784,0.509678862862616,0.5186031698302,0.524641773398465,0.52163475025555,0.516780385320545,0.526474765774678,0.521302578365106,0.531937961479281,0.536512580422143,0.526685771078104,0.519460062183309
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.519158466991542,0.519948013726145,0.524320177460397,0.505569618860752,0.532096045666173,0.532446771288587,0.525007062170585,0.518992497362123,0.502831725254712,0.537515196850139,0.513434572533006,0.545360314233454,0.527684439238837,0.527898046227922,0.503535638126298,0.549056266333255,0.513349781205171,0.513427841959123,0.516419292839456,0.533048690616857,0.535653410899093,0.521810007109216,0.524723606965738,0.509627794031338,0.519057231299647,0.569115867888345,0.536758669339531,0.486876963284889,0.538332568476735,0.538962098181697,0.552439169982364,0.538093623864278,0.523437286757504,0.517225278369093,0.562985113222103,0.526670355400058
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.506729484098388,0.551346488034215,0.544564844645726,0.494934508104424,0.519824127855994,0.533465434138228,0.525730690514503,0.536596594805801,0.54272179693248,0.516588144372075,0.546946898030857,0.52770226050262,0.519976113225221,0.560881160075124,0.540121720098652,0.506117093446444,0.543220896045556,0.54037118463581,0.526077588020597,0.535642537348593,0.513852069370447,0.539202874262701,0.532775768896982,0.51011383816587,0.538492859933797,0.496869372090937,0.514281487254325,0.505670360233831,0.556792107611081,0.5546330097519,0.526283166832538,0.505519097894644,0.530797211454609,0.546018693481729,0.510193682218706,0.526135340623854
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.524425277698715,0.5295053641141,0.538905272847908,0.508284535030005,0.508789435482263,0.518069654680608,0.542624293465595,0.526241180350529,0.521606022652014,0.54122187969245,0.540401873216639,0.4888911482706,0.52175164433533,0.544522025701575,0.535636082011753,0.511035431007331,0.528267665096373,0.528660127732031,0.525499540896871,0.543258202796879,0.507600619514327,0.553977679498285,0.518777277737466,0.530034390238469,0.546176509454673,0.517953524249994,0.507980293094767,0.534550678586135,0.525464055950332,0.517551969233951,0.555414313356127,0.5095721562923,0.520566975158898,0.537370323444035,0.553131161325487,0.516843588797819
